slot_definition_slot	UNOFFICIAL_range_type	abstract	alias	aliases	close_mappings	comments	deprecated	description	domain	exact_mappings	examples	from_schema	identifier	ifabsent	in_subset	inherited	inlined	is_a	mappings	multivalued	name	notes	owner	range	range_expression	readonly	recommended	see_also	singular_name	slot_uri	status	todos
last_updated_on	type_definition		last_updated_on					time at which the element was last updated	element			https://w3id.org/linkml/meta			basic						last_updated_on		slot_definition	datetime						pav:lastUpdatedOn		
list_elements_ordered	type_definition		list_elements_ordered			should only be used with multivalued slots		If True, then the order of elements of a multivalued slot is guaranteed to be preserved. If False, the order may still be preserved but this is not guaranteed	slot_definition			https://w3id.org/linkml/meta				True					list_elements_ordered		slot_definition	boolean								
list_elements_unique	type_definition		list_elements_unique			should only be used with multivalued slots		If True, then there must be no duplicates in the elements of a multivalued slot	slot_definition			https://w3id.org/linkml/meta				True					list_elements_unique		slot_definition	boolean								
local_names	class_definition		local_names						element			https://w3id.org/linkml/meta					True			True	local_names		slot_definition	local_name								
locally_reflexive	type_definition		locally_reflexive					If s is locally_reflexive, then i.s=i for all instances i where s if a class slot for the type of i	slot_definition			https://w3id.org/linkml/meta						relational_logical_characteristic			locally_reflexive		slot_definition	boolean								
mappings	type_definition		mappings	xrefs|identifiers|alternate identifiers|alternate ids				A list of terms from different schemas or terminology systems that have comparable meaning. These may include terms that are precisely equivalent, broader or narrower in meaning, or otherwise semantically related but not equivalent from a strict ontological perspective.				https://w3id.org/linkml/mappings								True	mappings		slot_definition	uriorcurie						skos:mappingRelation		
maximum_cardinality	type_definition		maximum_cardinality					the maximum number of entries for a multivalued slot				https://w3id.org/linkml/meta				True		list_value_specification_constant			maximum_cardinality		slot_definition	integer							testing	
maximum_value	type_definition		maximum_value	high value				for slots with ranges of type number, the value must be equal to or lowe than this	slot_definition			https://w3id.org/linkml/meta			basic	True					maximum_value		slot_definition	integer								
minimum_cardinality	type_definition		minimum_cardinality					the minimum number of entries for a multivalued slot				https://w3id.org/linkml/meta				True		list_value_specification_constant			minimum_cardinality		slot_definition	integer							testing	
minimum_value	type_definition		minimum_value	low value				for slots with ranges of type number, the value must be equal to or higher than this	slot_definition			https://w3id.org/linkml/meta			basic	True					minimum_value		slot_definition	integer								
mixin	type_definition		mixin	trait				this slot or class can only be used as a mixin.	definition			https://w3id.org/linkml/meta			basic|object_oriented						mixin		slot_definition	boolean				https://en.wikipedia.org/wiki/Mixin				
mixins	class_definition		mixins					List of definitions to be mixed in. Targets may be any definition of the same type	definition			https://w3id.org/linkml/meta								True	mixins		slot_definition	slot_definition								
modified_by	type_definition		modified_by					agent that modified the element	element			https://w3id.org/linkml/meta			basic						modified_by		slot_definition	uriorcurie						oslc:modifiedBy		
multivalued	type_definition		multivalued					true means that slot can have more than one value	slot_definition			https://w3id.org/linkml/meta			minimal|basic|object_oriented	True					multivalued		slot_definition	boolean								
name	type_definition		name	short name|unique name				the unique name of the element within the context of the schema.  Name is combined with the default prefix to form the globally unique subject of the target class.	element	schema:name		https://w3id.org/linkml/meta	True		owl|minimal|basic|relational_model|object_oriented						name		slot_definition	string				https://en.wikipedia.org/wiki/Data_element_name		rdfs:label		
narrow_mappings	type_definition		narrow_mappings					A list of terms from different schemas or terminology systems that have narrower meaning.				https://w3id.org/linkml/mappings						mappings		True	narrow mappings		slot_definition	uriorcurie						skos:narrowMatch		
none_of	class_definition		none_of					holds if none of the expressions hold		sh:not		https://w3id.org/linkml/meta						boolean_slot		True	none_of		slot_definition	anonymous_slot_expression								
notes	type_definition		notes					editorial notes about an element intended for internal consumption	element			https://w3id.org/linkml/meta			owl|basic					True	notes		slot_definition	string						skos:editorialNote		
owner	class_definition		owner				Will be replaced by domain_of and eventually removed	"the ""owner"" of the slot. It is the class if it appears in the slots list, otherwise the declaring slot"	slot_definition			https://w3id.org/linkml/meta									owner		slot_definition	definition		filled in by loader -- either class domain or slot domain						
path_rule	class_definition		path_rule					a rule for inferring a slot assignment based on evaluating a path through a sequence of slot assignemnts	slot_definition			https://w3id.org/linkml/meta									path_rule		slot_definition	path_expression								
pattern	type_definition		pattern					the string value of the slot must conform to this regular expression expressed in the string	definition			https://w3id.org/linkml/meta			basic	True					pattern		slot_definition	string								
range	class_definition		range	value domain		range is underspecified, as not all elements can appear as the range of a slot.		"defines the type of the object of the slot.  Given the following slot definition
  S1:
    domain: C1
    range:  C2
the declaration
  X:
    S1: Y

implicitly asserts Y is an instance of C2
"	slot_definition			https://w3id.org/linkml/meta		default_range	minimal|basic|relational_model|object_oriented	True					range		slot_definition	element								
range_expression	class_definition		range_expression			one use for this is being able to describe a range using any_of expressions, for example to combine two enums		A range that is described as a boolean expression combining existing ranges	slot_expression			https://w3id.org/linkml/meta									range_expression		slot_definition	anonymous_class_expression								
rank	type_definition		rank	order|precedence|display order		the rank of an element does not affect the semantics		the relative order in which the element occurs, lower values are given precedence				https://w3id.org/linkml/meta			basic						rank		slot_definition	integer						sh:order		
readonly	type_definition		readonly					If present, slot is read only.  Text explains why	slot_definition			https://w3id.org/linkml/meta				True					readonly		slot_definition	string								
recommended	type_definition		recommended			This is to be used where not all data is expected to conform to having a required field|If a slot is recommended, and it is not populated, applications must not treat this as an error. Applications may use this to inform the user of missing data		true means that the slot should be present in the loaded definition, but this is not required	slot_definition			https://w3id.org/linkml/meta			basic	True					recommended		slot_definition	boolean				https://github.com/linkml/linkml/issues/177				
reflexive	type_definition		reflexive		owl:ReflexiveProperty	it is rare for a property to be reflexive, this characteristic is added for completeness, consider instead locally_reflexive		If s is reflexive, then i.s=i for all instances i	slot_definition			https://w3id.org/linkml/meta						relational_logical_characteristic			reflexive		slot_definition	boolean								
reflexive_transitive_form_of	class_definition		reflexive_transitive_form_of					transitive_form_of including the reflexive case				https://w3id.org/linkml/meta						transitive_form_of			reflexive_transitive_form_of		slot_definition	slot_definition								
related_mappings	type_definition		related_mappings					A list of terms from different schemas or terminology systems that have related meaning.				https://w3id.org/linkml/mappings						mappings		True	related mappings		slot_definition	uriorcurie						skos:relatedMatch		
relational_role	enum_definition		relational_role	reification_role		this should only be used on slots that are applicable to class that represent relationships|in the context of RDF, this should be used for slots that can be modeled using the RDF reification vocabulary|in the context of property graphs, this should be used on edge classes to indicate which slots represent the input and output nodes		the role a slot on a relationship class plays, for example, the subject, object or predicate roles	slot_definition			https://w3id.org/linkml/meta				True					relational_role		slot_definition	relational_role_enum							testing	
required	type_definition		required					true means that the slot must be present in the loaded definition	slot_definition			https://w3id.org/linkml/meta			minimal|basic|relational_model|object_oriented	True					required		slot_definition	boolean								
role	type_definition		role					the role played by the slot range	slot_definition			https://w3id.org/linkml/meta				True					role		slot_definition	string								
see_also	type_definition		see_also					a reference	element			https://w3id.org/linkml/meta			owl|basic					True	see_also		slot_definition	uriorcurie						rdfs:seeAlso		
shared	type_definition		shared	inverse functional|many to one or many				If True, then the relationship between the slot domain and range is many to one or many to many	slot_definition			https://w3id.org/linkml/meta				True					shared		slot_definition	boolean								
singular_name	type_definition		singular_name					a name that is used in the singular form	slot_definition			https://w3id.org/linkml/meta			basic						singular_name		slot_definition	string						skos:altLabel		
slot_group	class_definition		slot_group					allows for grouping of related slots into a grouping slot that serves the role of a group	slot_definition			https://w3id.org/linkml/meta			basic						slot_group		slot_definition	slot_definition	AnonymousClassExpression(extensions={}, annotations={}, description=None, alt_descriptions={}, title=None, deprecated=None, todos=[], notes=[], comments=[], examples=[], in_subset=[], from_schema=None, imported_from=None, source=None, in_language=None, see_also=[], deprecated_element_has_exact_replacement=None, deprecated_element_has_possible_replacement=None, aliases=[], structured_aliases={}, mappings=[], exact_mappings=[], close_mappings=[], related_mappings=[], narrow_mappings=[], broad_mappings=[], rank=None, is_a=None, any_of=[], exactly_one_of=[], none_of=[], all_of=[], slot_conditions={'is_grouping_slot': SlotDefinition(name='is_grouping_slot', id_prefixes=[], definition_uri=None, local_names={}, conforms_to=None, extensions={}, annotations={}, description=None, alt_descriptions={}, title=None, deprecated=None, todos=[], notes=[], comments=[], examples=[], in_subset=[], from_schema=None, imported_from=None, source=None, in_language=None, see_also=[], deprecated_element_has_exact_replacement=None, deprecated_element_has_possible_replacement=None, aliases=[], structured_aliases={}, mappings=[], exact_mappings=[], close_mappings=[], related_mappings=[], narrow_mappings=[], broad_mappings=[], rank=None, is_a=None, abstract=None, mixin=None, mixins=[], apply_to=[], values_from=[], created_by=None, created_on=None, last_updated_on=None, modified_by=None, status=None, string_serialization=None, singular_name=None, domain=None, slot_uri=None, multivalued=None, inherited=None, readonly=None, ifabsent=None, list_elements_unique=None, list_elements_ordered=None, shared=None, key=None, identifier=None, designates_type=None, alias=None, owner=None, domain_of=[], subproperty_of=None, symmetric=None, reflexive=None, locally_reflexive=None, irreflexive=None, asymmetric=None, transitive=None, inverse=None, is_class_field=None, transitive_form_of=None, reflexive_transitive_form_of=None, role=None, is_usage_slot=None, usage_slot_name=None, relational_role=None, slot_group=None, is_grouping_slot=None, path_rule=None, disjoint_with=[], children_are_mutually_disjoint=None, range=None, range_expression=None, required=None, recommended=None, inlined=None, inlined_as_list=None, minimum_value=None, maximum_value=None, pattern=None, structured_pattern=None, equals_string=None, equals_string_in=[], equals_number=None, equals_expression='True', minimum_cardinality=None, maximum_cardinality=None, has_member=None, all_members={}, none_of=[], exactly_one_of=[], any_of=[], all_of=[])})					sh:group		
slot_uri	type_definition		slot_uri	public ID				predicate of this slot for semantic web application	slot_definition			https://w3id.org/linkml/meta		slot_curie	basic						slot_uri		slot_definition	uriorcurie								
